,0,1,2,3,4
0,0.7111,0.0557,0.2721,-0.0341,-0.3623
1,3001.7056,5426.6051,4764.3108,5678.832,6518.0606
2,2188.6173,3938.097,3707.3847,4146.9542,4748.5722
3,0.9603,0.9496,0.9545,0.9499,0.9477
4,1112.052,1253.6638,1191.5991,1250.224,1276.8557
5,877.5801,950.1034,910.1907,944.4623,951.1863
6,-0.0343,-0.5578,-0.6378,-0.6061,-0.5729
7,5679.352,6969.9023,7146.7182,7077.1482,7003.778
8,4153.9443,5103.6546,5198.583,5148.8947,5094.633
9,0.8523,0.6903,0.5761,0.5237,0.7415
10,2146.3682,3107.6764,3635.918,3853.985,2839.5238
11,1497.6532,2305.0064,2735.5228,3091.589,2073.8327
12,0.8491,0.5546,0.016,0.0706,-0.7602
13,2167.9067,3724.1657,5535.6641,5380.0049,7403.7838
14,1688.2645,2739.6247,4063.4735,3995.0866,5505.1406
15,0.9614,0.957,0.9598,0.9606,0.9468
16,1096.2375,1156.7342,1119.5059,1108.1773,1287.2787
17,851.8098,889.2336,871.3471,857.1522,953.4775
18,0.008,-0.6334,-0.5104,-0.7814,-0.7598
19,5558.0932,7132.1474,6858.3671,7448.3683,7402.9967
20,4048.0607,5249.7198,5021.083,5474.9513,5461.1949
21,0.8117,0.5821,0.8035,0.7335,0.7337
22,2421.6245,3607.4929,2473.6911,2881.0882,2880.0412
23,1770.7645,2773.4056,1824.7753,2159.489,2093.3686
24,0.8524,0.4895,0.041,-0.4675,-0.1447
25,2143.7628,3987.1809,5464.8867,6760.1588,5970.6739
26,1531.6387,3207.5155,3986.7816,4953.6478,4382.6978
27,0.9531,0.9556,0.9567,0.9596,0.9538
28,1208.872,1175.3585,1161.0893,1121.8367,1199.1529
29,923.5974,896.3253,895.3192,863.1917,910.1505
30,-0.8848,-0.6193,-0.5292,-0.8193,-0.7715
31,7661.4314,7101.4085,6900.8943,7527.1145,7427.5932
32,5602.0273,5197.8281,5103.9086,5536.7373,5477.9614
33,0.8327,0.7302,0.7357,0.7084,0.6762
34,2282.8195,2898.5714,2869.04,3013.4689,3175.5858
35,1595.6424,2100.1652,2046.9793,2208.7265,2369.1967
36,0.7155,0.0907,0.4082,-0.3177,-0.4613
37,2976.5113,5321.5467,4293.184,6405.8559,6745.9332
38,2230.4867,3916.9248,3182.6943,4707.1393,4951.008
39,0.9565,0.9552,0.9408,0.95,0.9515
40,1163.8293,1181.3298,1357.3417,1248.3812,1228.5205
41,897.0856,903.424,1018.5163,946.2149,937.1599
42,-0.0575,-0.4456,-0.4882,-0.5887,-0.6168
43,5738.64,6709.6969,6807.7029,7033.9245,7095.8704
44,4148.4212,4864.3003,4968.0054,5130.87,5188.208
45,0.6265,0.7414,0.7355,0.7283,0.6711
46,3410.4013,2838.0744,2870.217,2908.7717,3200.6344
47,2467.0912,2060.1406,2154.3796,2178.9012,2334.2368
48,0.5373,0.3258,-0.3239,-0.8566,-0.1155
49,3793.7995,4579.0991,6416.9881,7599.029,5890.3886
50,2747.608,3388.2289,4889.5208,5642.1571,4389.2483
51,0.9594,0.957,0.953,0.9616,0.962
52,1123.0862,1156.3207,1209.4142,1092.329,1087.8521
53,867.2074,895.6237,921.8856,855.8252,850.9814
54,-0.8049,-0.5756,-0.6354,-0.8444,-1.2163
55,7492.4512,7000.3346,7131.9589,7574.1586,8302.7143
56,5570.0994,5176.1475,5288.7218,5692.4256,6620.3582
57,0.8942,0.827,0.7757,0.7589,0.6887
58,1813.9803,2319.8391,2641.2566,2738.4836,3111.456
59,1304.0226,1635.5684,1981.7082,1940.276,2270.3985
60,0.846,-0.0284,-0.2597,-0.5976,-1.1911
61,2188.7926,5655.6003,6259.468,7049.2097,8255.2759
62,1660.0405,4236.9006,4613.2401,5419.2739,6530.6351
63,0.9596,0.9584,0.9574,0.9562,0.9618
64,1120.879,1136.994,1150.7352,1167.62,1090.4616
65,868.2394,884.1639,881.7749,892.4197,854.4332
66,-1.0335,-1.0318,-0.9899,-0.6305,-0.9309
67,7952.9444,7949.5967,7867.2288,7121.2969,7749.7048
68,6103.4983,5980.4679,6352.4583,5340.9454,5800.9983
69,0.7945,0.8166,0.7015,0.7625,0.7361
70,2528.1573,2388.5498,3047.1162,2717.8762,2865.1426
71,1826.6924,1733.7191,2233.2532,1960.3241,2154.6148
